element,category_id,frequency_in_category
soda,Napoli (Naples),6
something,Napoli (Naples),4
space,Napoli (Naples),7
spend,Napoli (Naples),4
spending,Napoli (Naples),1
spent,Napoli (Naples),4
spot,Napoli (Naples),8
spritz,Napoli (Naples),6
staff,Napoli (Naples),2
stair,Napoli (Naples),4
standard,Napoli (Naples),5
start,Napoli (Naples),6
station,Napoli (Naples),34
stay,Napoli (Naples),12
stayed,Napoli (Naples),4
stazione,Napoli (Naples),8
steep,Napoli (Naples),3
step,Napoli (Naples),6
stop,Napoli (Naples),11
store,Napoli (Naples),6
subway,Napoli (Naples),5
suggest,Napoli (Naples),3
summary,Napoli (Naples),6
summer,Napoli (Naples),7
summerr,Napoli (Naples),5
sun,Napoli (Naples),27
sunbed,Napoli (Naples),17
sunbeds,Napoli (Naples),2
sunday,Napoli (Naples),6
super,Napoli (Naples),4
sure,Napoli (Naples),3
surface,Napoli (Naples),5
surprise,Napoli (Naples),5
swim,Napoli (Naples),3
tan,Napoli (Naples),8
taxi,Napoli (Naples),1
teenager,Napoli (Naples),1
thank,Napoli (Naples),8
think,Napoli (Naples),9
thought,Napoli (Naples),4
time,Napoli (Naples),13
tiny,Napoli (Naples),4
toilet,Napoli (Naples),20
told,Napoli (Naples),11
topped,Napoli (Naples),6
total,Napoli (Naples),6
train,Napoli (Naples),20
trash,Napoli (Naples),3
trattoria,Napoli (Naples),3
travel,Napoli (Naples),3
try,Napoli (Naples),12
type,Napoli (Naples),6
umbrella,Napoli (Naples),50
unique,Napoli (Naples),2
urban,Napoli (Naples),2
use,Napoli (Naples),6
vacation,Napoli (Naples),6
vesuvio,Napoli (Naples),6
view,Napoli (Naples),27
visit,Napoli (Naples),16
volcanic,Napoli (Naples),14
walk,Napoli (Naples),34
want,Napoli (Naples),37
wasnt,Napoli (Naples),6
water,Napoli (Naples),23
way,Napoli (Naples),7
welcome,Napoli (Naples),2
west,Napoli (Naples),5
weve,Napoli (Naples),6
wheelchair,Napoli (Naples),6
whole,Napoli (Naples),12
wild,Napoli (Naples),2
wish,Napoli (Naples),4
work,Napoli (Naples),6
world,Napoli (Naples),6
worry,Napoli (Naples),6
worth,Napoli (Naples),10
wouldnt,Napoli (Naples),3
wristband,Napoli (Naples),4
yes,Napoli (Naples),2
yesterday,Napoli (Naples),4
young,Napoli (Naples),12
youre,Napoli (Naples),15
zero,Napoli (Naples),3
able,Nice-Cannes,13
abrupt,Nice-Cannes,1
absence,Nice-Cannes,1
absolument,Nice-Cannes,1
absolute,Nice-Cannes,2
access,Nice-Cannes,13
accessible,Nice-Cannes,1
accross,Nice-Cannes,1
action,Nice-Cannes,1
activity,Nice-Cannes,4
actor,Nice-Cannes,1
actual,Nice-Cannes,1
adapt,Nice-Cannes,1
addiction,Nice-Cannes,1
additional,Nice-Cannes,2
adjacent,Nice-Cannes,2
admire,Nice-Cannes,1
admission,Nice-Cannes,1
admit,Nice-Cannes,1
adonis,Nice-Cannes,1
adrenalin,Nice-Cannes,1
adult,Nice-Cannes,3
advance,Nice-Cannes,2
advantage,Nice-Cannes,2
advertising,Nice-Cannes,1
advice,Nice-Cannes,3
advise,Nice-Cannes,4
aesthetic,Nice-Cannes,1
afford,Nice-Cannes,1
affordable,Nice-Cannes,2
afraid,Nice-Cannes,1
afternoon,Nice-Cannes,23
afterwards,Nice-Cannes,1
age,Nice-Cannes,1
aggressive,Nice-Cannes,4
agree,Nice-Cannes,1
aim,Nice-Cannes,1
air,Nice-Cannes,7
airless,Nice-Cannes,1
airplane,Nice-Cannes,1
airport,Nice-Cannes,6
airy,Nice-Cannes,1
albeit,Nice-Cannes,1
alcohol,Nice-Cannes,2
alcoholic,Nice-Cannes,3
aldi,Nice-Cannes,1
alfresco,Nice-Cannes,1
ali,Nice-Cannes,1
alley,Nice-Cannes,1
allover,Nice-Cannes,1
allows,Nice-Cannes,1
alright,Nice-Cannes,1
amateur,Nice-Cannes,1
ambiance,Nice-Cannes,2
ambience,Nice-Cannes,3
ambient,Nice-Cannes,1
amd,Nice-Cannes,1
amenity,Nice-Cannes,1
amenties,Nice-Cannes,1
amongst,Nice-Cannes,2
amount,Nice-Cannes,4
anchor,Nice-Cannes,1
anges,Nice-Cannes,3
anglais,Nice-Cannes,21
anglaise,Nice-Cannes,1
angle,Nice-Cannes,1
anglese,Nice-Cannes,1
anglia,Nice-Cannes,1
angry,Nice-Cannes,1
annoyed,Nice-Cannes,7
annual,Nice-Cannes,2
ant,Nice-Cannes,1
antagonism,Nice-Cannes,1
antibes,Nice-Cannes,5
antibesits,Nice-Cannes,1
antic,Nice-Cannes,1
antilope,Nice-Cannes,1
anybody,Nice-Cannes,1
anyone,Nice-Cannes,14
anything,Nice-Cannes,11
anytime,Nice-Cannes,1
anyways,Nice-Cannes,1
apartment,Nice-Cannes,4
apero,Nice-Cannes,1
aperol,Nice-Cannes,1
aperos,Nice-Cannes,1
apologise,Nice-Cannes,1
apology,Nice-Cannes,2
appartment,Nice-Cannes,1
apple,Nice-Cannes,2
appreciate,Nice-Cannes,1
appreciates,Nice-Cannes,1
approach,Nice-Cannes,3
approachable,Nice-Cannes,1
approx,Nice-Cannes,2
aprerol,Nice-Cannes,1
april,Nice-Cannes,4
aqua,Nice-Cannes,1
area,Nice-Cannes,64
argue,Nice-Cannes,1
arles,Nice-Cannes,1
arm,Nice-Cannes,1
arrabbiata,Nice-Cannes,1
arrival,Nice-Cannes,4
arrive,Nice-Cannes,6
arrogance,Nice-Cannes,1
arrogant,Nice-Cannes,2
art,Nice-Cannes,4
artichoke,Nice-Cannes,1
artist,Nice-Cannes,3
artwork,Nice-Cannes,1
asian,Nice-Cannes,1
ask,Nice-Cannes,17
asleep,Nice-Cannes,1
aslo,Nice-Cannes,1
assiette,Nice-Cannes,1
assistance,Nice-Cannes,1
assure,Nice-Cannes,1
ate,Nice-Cannes,4
atlantic,Nice-Cannes,1
atmospheric,Nice-Cannes,1
attandant,Nice-Cannes,1
attempt,Nice-Cannes,1
attend,Nice-Cannes,1
attendant,Nice-Cannes,5
attention,Nice-Cannes,10
attentive,Nice-Cannes,29
attitude,Nice-Cannes,7
attract,Nice-Cannes,1
attraction,Nice-Cannes,1
attracts,Nice-Cannes,1
august,Nice-Cannes,8
aure,Nice-Cannes,1
australia,Nice-Cannes,2
authentic,Nice-Cannes,1
autumn,Nice-Cannes,1
available,Nice-Cannes,21
avec,Nice-Cannes,1
average,Nice-Cannes,15
avignon,Nice-Cannes,2
avoid,Nice-Cannes,18
aware,Nice-Cannes,7
awesome,Nice-Cannes,6
awful,Nice-Cannes,6
azur,Nice-Cannes,8
azure,Nice-Cannes,5
baba,Nice-Cannes,1
baby,Nice-Cannes,2
backdrop,Nice-Cannes,1
background,Nice-Cannes,2
backstreets,Nice-Cannes,1
backwards,Nice-Cannes,1
bacon,Nice-Cannes,1
bad,Nice-Cannes,33
bag,Nice-Cannes,7
bagna,Nice-Cannes,1
baguette,Nice-Cannes,1
baie,Nice-Cannes,2
bains,Nice-Cannes,1
banana,Nice-Cannes,1
bang,Nice-Cannes,1
bank,Nice-Cannes,1
bar,Nice-Cannes,39
bare,Nice-Cannes,3
barefoot,Nice-Cannes,3
bargain,Nice-Cannes,1
barman,Nice-Cannes,4
barrage,Nice-Cannes,1
bartender,Nice-Cannes,2
basic,Nice-Cannes,4
bask,Nice-Cannes,1
basket,Nice-Cannes,3
basking,Nice-Cannes,1
bass,Nice-Cannes,3
bath,Nice-Cannes,3
bather,Nice-Cannes,3
bathing,Nice-Cannes,9
bathroom,Nice-Cannes,15
bay,Nice-Cannes,12
beacause,Nice-Cannes,1
beach,Nice-Cannes,917
beachfront,Nice-Cannes,1
beachside,Nice-Cannes,2
beachwear,Nice-Cannes,1
beak,Nice-Cannes,1
beaker,Nice-Cannes,1
bean,Nice-Cannes,3
bear,Nice-Cannes,1
beat,Nice-Cannes,3
beatiful,Nice-Cannes,1
beau,Nice-Cannes,3
beaujolais,Nice-Cannes,1
beaune,Nice-Cannes,1
beautiful,Nice-Cannes,83
beautifull,Nice-Cannes,2
beauty,Nice-Cannes,2
bed,Nice-Cannes,76
beech,Nice-Cannes,2
beef,Nice-Cannes,5
beer,Nice-Cannes,20
belle,Nice-Cannes,3
belonging,Nice-Cannes,3
ben,Nice-Cannes,2
bend,Nice-Cannes,1
benefit,Nice-Cannes,3
bergerie,Nice-Cannes,1
berry,Nice-Cannes,1
beside,Nice-Cannes,1
best,Nice-Cannes,67
bestiary,Nice-Cannes,1
bet,Nice-Cannes,1
betide,Nice-Cannes,1
beverage,Nice-Cannes,6
beware,Nice-Cannes,2
bien,Nice-Cannes,1
big,Nice-Cannes,29
bike,Nice-Cannes,2
bill,Nice-Cannes,9
bird,Nice-Cannes,1
birthday,Nice-Cannes,6
bisque,Nice-Cannes,1
bistro,Nice-Cannes,2
bit,Nice-Cannes,56
bite,Nice-Cannes,2
bitter,Nice-Cannes,2
black,Nice-Cannes,4
blanket,Nice-Cannes,3
blast,Nice-Cannes,1
ble,Nice-Cannes,1
bleak,Nice-Cannes,1
bleu,Nice-Cannes,2
blie,Nice-Cannes,1
blind,Nice-Cannes,1
block,Nice-Cannes,1
blockage,Nice-Cannes,1
blond,Nice-Cannes,2
blonde,Nice-Cannes,2
bloody,Nice-Cannes,1
blow,Nice-Cannes,1
blowing,Nice-Cannes,1
blue,Nice-Cannes,135
board,Nice-Cannes,1
boardwalk,Nice-Cannes,2
boat,Nice-Cannes,12
body,Nice-Cannes,3
boeuf,Nice-Cannes,1
bohmien,Nice-Cannes,1
bold,Nice-Cannes,1
bonjour,Nice-Cannes,2
bonus,Nice-Cannes,4
book,Nice-Cannes,15
booking,Nice-Cannes,1
boot,Nice-Cannes,1
boredom,Nice-Cannes,1
bossing,Nice-Cannes,1
bother,Nice-Cannes,8
bothersome,Nice-Cannes,1
bottle,Nice-Cannes,13
bottom,Nice-Cannes,3
bouchon,Nice-Cannes,1
bought,Nice-Cannes,7
bouillabaisse,Nice-Cannes,1
boundary,Nice-Cannes,1
boutique,Nice-Cannes,1
bouys,Nice-Cannes,1
bowl,Nice-Cannes,2
bowling,Nice-Cannes,1
box,Nice-Cannes,2
boy,Nice-Cannes,6
boyfriend,Nice-Cannes,1
brag,Nice-Cannes,1
brainer,Nice-Cannes,1
brasserie,Nice-Cannes,1
braving,Nice-Cannes,1
bravo,Nice-Cannes,1
bread,Nice-Cannes,3
break,Nice-Cannes,8
breakfast,Nice-Cannes,5
bream,Nice-Cannes,1
breath,Nice-Cannes,1
breathtaking,Nice-Cannes,1
breeze,Nice-Cannes,4
briefly,Nice-Cannes,1
bright,Nice-Cannes,5
brighter,Nice-Cannes,1
brighton,Nice-Cannes,2
brilliant,Nice-Cannes,3
bring,Nice-Cannes,41
brochette,Nice-Cannes,1
broken,Nice-Cannes,1
brolley,Nice-Cannes,1
brolly,Nice-Cannes,1
brought,Nice-Cannes,9
brunch,Nice-Cannes,1
brutal,Nice-Cannes,1
btw,Nice-Cannes,1
bucket,Nice-Cannes,2
bud,Nice-Cannes,1
budget,Nice-Cannes,2
builder,Nice-Cannes,1
building,Nice-Cannes,3
bunch,Nice-Cannes,1
buoyant,Nice-Cannes,1
burger,Nice-Cannes,5
burgundy,Nice-Cannes,1
burlap,Nice-Cannes,1
burn,Nice-Cannes,2
burning,Nice-Cannes,1
bursting,Nice-Cannes,1
bus,Nice-Cannes,4
business,Nice-Cannes,3
bussy,Nice-Cannes,1
bustle,Nice-Cannes,2
busy,Nice-Cannes,21
butt,Nice-Cannes,2
button,Nice-Cannes,1
buying,Nice-Cannes,6
buzz,Nice-Cannes,1
buzzing,Nice-Cannes,3
byo,Nice-Cannes,1
cabana,Nice-Cannes,1
cabinet,Nice-Cannes,1
cadre,Nice-Cannes,1
caesar,Nice-Cannes,3
caf,Nice-Cannes,1
cafe,Nice-Cannes,9
cafs,Nice-Cannes,1
cake,Nice-Cannes,1
cal,Nice-Cannes,1
calamari,Nice-Cannes,2
calamitous,Nice-Cannes,1
california,Nice-Cannes,1
call,Nice-Cannes,2
calm,Nice-Cannes,12
calmly,Nice-Cannes,1
camp,Nice-Cannes,1
canape,Nice-Cannes,1
cancer,Nice-Cannes,1
candle,Nice-Cannes,1
canne,Nice-Cannes,2
cant,Nice-Cannes,4
canvas,Nice-Cannes,1
canyon,Nice-Cannes,1
cap,Nice-Cannes,1
capital,Nice-Cannes,1
cappuccino,Nice-Cannes,2
captain,Nice-Cannes,1
car,Nice-Cannes,2
card,Nice-Cannes,1
care,Nice-Cannes,16
careful,Nice-Cannes,4
caribbean,Nice-Cannes,3
carpaccio,Nice-Cannes,4
carpark,Nice-Cannes,2
carpet,Nice-Cannes,4
carribean,Nice-Cannes,1
carry,Nice-Cannes,3
case,Nice-Cannes,7
cash,Nice-Cannes,1
casino,Nice-Cannes,1
castel,Nice-Cannes,73
castle,Nice-Cannes,19
casual,Nice-Cannes,1
cat,Nice-Cannes,2
catch,Nice-Cannes,9
catering,Nice-Cannes,1
cattle,Nice-Cannes,1
caught,Nice-Cannes,1
cave,Nice-Cannes,1
celebrate,Nice-Cannes,1
celebreties,Nice-Cannes,1
celebrity,Nice-Cannes,1
cent,Nice-Cannes,2
center,Nice-Cannes,2
central,Nice-Cannes,4
centre,Nice-Cannes,8
century,Nice-Cannes,1
certain,Nice-Cannes,2
chacun,Nice-Cannes,1
chair,Nice-Cannes,113
chaise,Nice-Cannes,3
chaiselongs,Nice-Cannes,1
challenge,Nice-Cannes,4
chance,Nice-Cannes,5
change,Nice-Cannes,9
chaos,Nice-Cannes,1
char,Nice-Cannes,1
charge,Nice-Cannes,13
charm,Nice-Cannes,5
chat,Nice-Cannes,2
chateau,Nice-Cannes,3
chatter,Nice-Cannes,1
cheap,Nice-Cannes,23
cheaper,Nice-Cannes,5
cheaperservice,Nice-Cannes,1
cheapest,Nice-Cannes,4
check,Nice-Cannes,5
checked,Nice-Cannes,1
cheerful,Nice-Cannes,1
cheery,Nice-Cannes,1
cheese,Nice-Cannes,3
cheeseburger,Nice-Cannes,1
chef,Nice-Cannes,5
chemin,Nice-Cannes,1
chicken,Nice-Cannes,4
child,Nice-Cannes,20
chill,Nice-Cannes,5
chip,Nice-Cannes,4
chipped,Nice-Cannes,1
chocolate,Nice-Cannes,1
choice,Nice-Cannes,16
choose,Nice-Cannes,6
chopped,Nice-Cannes,1
choppy,Nice-Cannes,1
chose,Nice-Cannes,8
chosen,Nice-Cannes,1
christophen,Nice-Cannes,2
chrystal,Nice-Cannes,1
cigarette,Nice-Cannes,2
circulation,Nice-Cannes,1
circumstance,Nice-Cannes,1
city,Nice-Cannes,13
cl,Nice-Cannes,1
clad,Nice-Cannes,1
claim,Nice-Cannes,2
claimed,Nice-Cannes,2
clam,Nice-Cannes,1
class,Nice-Cannes,4
classic,Nice-Cannes,1
classical,Nice-Cannes,1
classiest,Nice-Cannes,2
classy,Nice-Cannes,2
claustrophobic,Nice-Cannes,1
clean,Nice-Cannes,86
cleaner,Nice-Cannes,4
cleanest,Nice-Cannes,1
cleaning,Nice-Cannes,4
cleanliness,Nice-Cannes,1
clear,Nice-Cannes,38
clearest,Nice-Cannes,1
clicked,Nice-Cannes,1
client,Nice-Cannes,1
clientele,Nice-Cannes,2
cliff,Nice-Cannes,4
climb,Nice-Cannes,7
clock,Nice-Cannes,2
close,Nice-Cannes,4
closer,Nice-Cannes,4
closest,Nice-Cannes,1
closing,Nice-Cannes,1
clothed,Nice-Cannes,1
clothes,Nice-Cannes,1
cloudy,Nice-Cannes,2
club,Nice-Cannes,37
clue,Nice-Cannes,1
co,Nice-Cannes,1
coast,Nice-Cannes,5
coastline,Nice-Cannes,4
cobble,Nice-Cannes,1
cobbler,Nice-Cannes,1
cocktail,Nice-Cannes,16
cocky,Nice-Cannes,1
coco,Nice-Cannes,6
cocoa,Nice-Cannes,2
cod,Nice-Cannes,1
coffe,Nice-Cannes,1
coffee,Nice-Cannes,10
coke,Nice-Cannes,2
cold,Nice-Cannes,25
colleague,Nice-Cannes,3
collection,Nice-Cannes,1
colline,Nice-Cannes,1
color,Nice-Cannes,10
colour,Nice-Cannes,8
colourful,Nice-Cannes,1
combination,Nice-Cannes,2
comfier,Nice-Cannes,1
comfort,Nice-Cannes,11
comfortable,Nice-Cannes,52
comfy,Nice-Cannes,18
commencement,Nice-Cannes,1
comment,Nice-Cannes,6
common,Nice-Cannes,4
commonplace,Nice-Cannes,1
communist,Nice-Cannes,1
comparable,Nice-Cannes,1
comparison,Nice-Cannes,3
compensate,Nice-Cannes,1
competent,Nice-Cannes,2
competition,Nice-Cannes,2
competitor,Nice-Cannes,2
complain,Nice-Cannes,5
complaint,Nice-Cannes,3
complement,Nice-Cannes,1
complete,Nice-Cannes,4
complimentary,Nice-Cannes,3
concentrate,Nice-Cannes,1
concern,Nice-Cannes,1
concerned,Nice-Cannes,2
conclusion,Nice-Cannes,1
conducive,Nice-Cannes,1
confortable,Nice-Cannes,1
confrontation,Nice-Cannes,1
congres,Nice-Cannes,1
consistency,Nice-Cannes,1
consistent,Nice-Cannes,1
constant,Nice-Cannes,1
construction,Nice-Cannes,2
contact,Nice-Cannes,1
contes,Nice-Cannes,1
context,Nice-Cannes,1
continue,Nice-Cannes,1
continued,Nice-Cannes,2
contrast,Nice-Cannes,1
contribute,Nice-Cannes,1
control,Nice-Cannes,1
convenience,Nice-Cannes,4
convenient,Nice-Cannes,8
conversation,Nice-Cannes,1
cooked,Nice-Cannes,9
cooking,Nice-Cannes,1
cool,Nice-Cannes,13
coolest,Nice-Cannes,1
cope,Nice-Cannes,1
cordial,Nice-Cannes,1
corner,Nice-Cannes,4
correct,Nice-Cannes,5
corsica,Nice-Cannes,1
cosmopolitan,Nice-Cannes,2
cost,Nice-Cannes,28
costly,Nice-Cannes,1
costume,Nice-Cannes,1
cosy,Nice-Cannes,1
cote,Nice-Cannes,6
cotton,Nice-Cannes,1
couch,Nice-Cannes,1
couldnt,Nice-Cannes,3
countdown,Nice-Cannes,1
country,Nice-Cannes,5
couple,Nice-Cannes,29
courgette,Nice-Cannes,1
course,Nice-Cannes,19
courteous,Nice-Cannes,1
courtesy,Nice-Cannes,1
cove,Nice-Cannes,3
cover,Nice-Cannes,2
crab,Nice-Cannes,1
crammed,Nice-Cannes,1
crank,Nice-Cannes,1
crazy,Nice-Cannes,1
cream,Nice-Cannes,6
create,Nice-Cannes,1
creme,Nice-Cannes,1
crepe,Nice-Cannes,1
crise,Nice-Cannes,1
crispy,Nice-Cannes,1
croatia,Nice-Cannes,1
croisette,Nice-Cannes,4
crony,Nice-Cannes,1
cross,Nice-Cannes,1
crouton,Nice-Cannes,1
crowd,Nice-Cannes,8
crowdy,Nice-Cannes,2
cruise,Nice-Cannes,3
crumb,Nice-Cannes,1
crunchy,Nice-Cannes,1
crystal,Nice-Cannes,5
cte,Nice-Cannes,2
cuba,Nice-Cannes,1
cuisine,Nice-Cannes,2
cup,Nice-Cannes,3
current,Nice-Cannes,2
curve,Nice-Cannes,3
cushion,Nice-Cannes,1
custom,Nice-Cannes,3
customer,Nice-Cannes,16
cut,Nice-Cannes,2
cutlery,Nice-Cannes,2
cypre,Nice-Cannes,1
daily,Nice-Cannes,3
daiquirs,Nice-Cannes,1
dalmatian,Nice-Cannes,1
date,Nice-Cannes,2
daughter,Nice-Cannes,5
david,Nice-Cannes,13
davide,Nice-Cannes,1
dawn,Nice-Cannes,1
day,Nice-Cannes,302
daybed,Nice-Cannes,1
dayservice,Nice-Cannes,1
de,Nice-Cannes,38
deal,Nice-Cannes,8
dean,Nice-Cannes,1
dear,Nice-Cannes,1
december,Nice-Cannes,3
decent,Nice-Cannes,11
decide,Nice-Cannes,2
decides,Nice-Cannes,1
decision,Nice-Cannes,1
deck,Nice-Cannes,7
deckchairs,Nice-Cannes,1
decoration,Nice-Cannes,3
deep,Nice-Cannes,13
def,Nice-Cannes,1
definite,Nice-Cannes,1
defo,Nice-Cannes,1
degree,Nice-Cannes,1
dejeuner,Nice-Cannes,1
delicious,Nice-Cannes,28
delight,Nice-Cannes,2
delighted,Nice-Cannes,2
delightful,Nice-Cannes,2
delish,Nice-Cannes,1
deliver,Nice-Cannes,1
delivers,Nice-Cannes,1
demi,Nice-Cannes,1
depends,Nice-Cannes,1
der,Nice-Cannes,1
described,Nice-Cannes,1
description,Nice-Cannes,2
deserves,Nice-Cannes,1
design,Nice-Cannes,1
desirable,Nice-Cannes,1
desire,Nice-Cannes,2
desk,Nice-Cannes,4
dessert,Nice-Cannes,4
destination,Nice-Cannes,6
detail,Nice-Cannes,2
detailed,Nice-Cannes,1
deter,Nice-Cannes,1
detour,Nice-Cannes,1
diamond,Nice-Cannes,1
didnt,Nice-Cannes,7
difference,Nice-Cannes,2
different,Nice-Cannes,21
difficult,Nice-Cannes,19
dificult,Nice-Cannes,1
dig,Nice-Cannes,1
dine,Nice-Cannes,3
dinner,Nice-Cannes,20
dip,Nice-Cannes,5
direct,Nice-Cannes,1
direction,Nice-Cannes,1
director,Nice-Cannes,1
dirt,Nice-Cannes,3
dirty,Nice-Cannes,3
dis,Nice-Cannes,1
disagree,Nice-Cannes,1
disappoint,Nice-Cannes,1
disappointed,Nice-Cannes,14
disappointment,Nice-Cannes,2
disappontments,Nice-Cannes,1
discomfort,Nice-Cannes,1
discount,Nice-Cannes,2
discourage,Nice-Cannes,1
dish,Nice-Cannes,9
disrupt,Nice-Cannes,1
dissapointment,Nice-Cannes,1
distance,Nice-Cannes,1
distribution,Nice-Cannes,1
disturbance,Nice-Cannes,1
disturbed,Nice-Cannes,1
disturbs,Nice-Cannes,1
dive,Nice-Cannes,2
dl,Nice-Cannes,1
dock,Nice-Cannes,3
doesnt,Nice-Cannes,4
dog,Nice-Cannes,1
dolla,Nice-Cannes,1
dollar,Nice-Cannes,1
dont,Nice-Cannes,15
door,Nice-Cannes,11
dosn,Nice-Cannes,1
doubt,Nice-Cannes,1
downside,Nice-Cannes,2
downtown,Nice-Cannes,1
dozen,Nice-Cannes,2
drag,Nice-Cannes,1
dragon,Nice-Cannes,1
dramatic,Nice-Cannes,2
drank,Nice-Cannes,2
draught,Nice-Cannes,1
drawn,Nice-Cannes,1
dreadful,Nice-Cannes,1
dream,Nice-Cannes,2
drink,Nice-Cannes,136
drinkable,Nice-Cannes,1
drinking,Nice-Cannes,2
drive,Nice-Cannes,4
droite,Nice-Cannes,1
drop,Nice-Cannes,5
drove,Nice-Cannes,1
dry,Nice-Cannes,8
duck,Nice-Cannes,1
due,Nice-Cannes,10
dumbed,Nice-Cannes,1
dump,Nice-Cannes,1
duper,Nice-Cannes,1
dusk,Nice-Cannes,1
duty,Nice-Cannes,1
eager,Nice-Cannes,1
earn,Nice-Cannes,1
earring,Nice-Cannes,1
earth,Nice-Cannes,1
east,Nice-Cannes,7
eastern,Nice-Cannes,2
easy,Nice-Cannes,24
eat,Nice-Cannes,35
eats,Nice-Cannes,1
eau,Nice-Cannes,1
ebb,Nice-Cannes,1
eclectic,Nice-Cannes,1
economic,Nice-Cannes,1
eden,Nice-Cannes,1
edge,Nice-Cannes,5
edward,Nice-Cannes,1
eexpensive,Nice-Cannes,1
efficient,Nice-Cannes,11
effort,Nice-Cannes,1
eg,Nice-Cannes,1
egg,Nice-Cannes,2
eggplant,Nice-Cannes,1
eighth,Nice-Cannes,1
elegant,Nice-Cannes,1
element,Nice-Cannes,1
elevator,Nice-Cannes,1
elite,Nice-Cannes,1
email,Nice-Cannes,2
emplacement,Nice-Cannes,1
employee,Nice-Cannes,1
empty,Nice-Cannes,7
en,Nice-Cannes,1
end,Nice-Cannes,34
endure,Nice-Cannes,1
englais,Nice-Cannes,1
enjoy,Nice-Cannes,59
enjoyable,Nice-Cannes,6
enquire,Nice-Cannes,1
enroute,Nice-Cannes,1
enter,Nice-Cannes,9
enthusiastic,Nice-Cannes,1
entire,Nice-Cannes,9
entrance,Nice-Cannes,6
entry,Nice-Cannes,6
enviroment,Nice-Cannes,1
environment,Nice-Cannes,2
escape,Nice-Cannes,3
espresso,Nice-Cannes,1
est,Nice-Cannes,1
establishment,Nice-Cannes,2
et,Nice-Cannes,1
etats,Nice-Cannes,2
etc,Nice-Cannes,17
etcbad,Nice-Cannes,1
etcthe,Nice-Cannes,1
etiquette,Nice-Cannes,1
eur,Nice-Cannes,12
euro,Nice-Cannes,104
europe,Nice-Cannes,3
european,Nice-Cannes,4
eve,Nice-Cannes,1
evening,Nice-Cannes,1
event,Nice-Cannes,3
everybody,Nice-Cannes,5
everyday,Nice-Cannes,2
everyone,Nice-Cannes,9
everything,Nice-Cannes,24
ex,Nice-Cannes,1
exact,Nice-Cannes,1
example,Nice-Cannes,5
excellent,Nice-Cannes,52
exception,Nice-Cannes,1
exceptional,Nice-Cannes,2
excitement,Nice-Cannes,2
exclusive,Nice-Cannes,1
excuse,Nice-Cannes,1
exercise,Nice-Cannes,2
exit,Nice-Cannes,4
expanse,Nice-Cannes,1
expectional,Nice-Cannes,1
expense,Nice-Cannes,1
expensive,Nice-Cannes,69
experience,Nice-Cannes,31
experienced,Nice-Cannes,3
expert,Nice-Cannes,1
explain,Nice-Cannes,3
explains,Nice-Cannes,1
explanation,Nice-Cannes,1
explore,Nice-Cannes,1
expression,Nice-Cannes,1
extend,Nice-Cannes,2
extra,Nice-Cannes,25
eye,Nice-Cannes,9
eyed,Nice-Cannes,1
eza,Nice-Cannes,1
faberge,Nice-Cannes,1
fabian,Nice-Cannes,1
fabulous,Nice-Cannes,8
face,Nice-Cannes,7
facial,Nice-Cannes,1
facility,Nice-Cannes,31
fact,Nice-Cannes,11
factor,Nice-Cannes,1
fad,Nice-Cannes,1
fail,Nice-Cannes,2
faint,Nice-Cannes,1
fair,Nice-Cannes,3
faire,Nice-Cannes,2
fall,Nice-Cannes,3
familiar,Nice-Cannes,1
family,Nice-Cannes,29
famous,Nice-Cannes,4
fan,Nice-Cannes,2
fanatic,Nice-Cannes,1
fancy,Nice-Cannes,3
fantastic,Nice-Cannes,16
fare,Nice-Cannes,2
fast,Nice-Cannes,5
fat,Nice-Cannes,1
fault,Nice-Cannes,3
faultless,Nice-Cannes,1
favor,Nice-Cannes,2
favorite,Nice-Cannes,3
favoritism,Nice-Cannes,1
favourite,Nice-Cannes,2
fawn,Nice-Cannes,1
fearless,Nice-Cannes,1
feature,Nice-Cannes,2
february,Nice-Cannes,3
fed,Nice-Cannes,1
fee,Nice-Cannes,4
feedback,Nice-Cannes,1
feel,Nice-Cannes,23
feeling,Nice-Cannes,1
felt,Nice-Cannes,17
female,Nice-Cannes,1
fence,Nice-Cannes,5
fer,Nice-Cannes,1
ferrat,Nice-Cannes,1
ferry,Nice-Cannes,1
festival,Nice-Cannes,7
fi,Nice-Cannes,1
fierce,Nice-Cannes,2
fight,Nice-Cannes,2
filet,Nice-Cannes,1
fill,Nice-Cannes,1
fillet,Nice-Cannes,2
film,Nice-Cannes,7
filthy,Nice-Cannes,2
final,Nice-Cannes,3
fine,Nice-Cannes,14
finger,Nice-Cannes,1
finish,Nice-Cannes,1
fish,Nice-Cannes,16
fishing,Nice-Cannes,1
fist,Nice-Cannes,1
fit,Nice-Cannes,2
fix,Nice-Cannes,1
fixing,Nice-Cannes,1
flag,Nice-Cannes,5
flat,Nice-Cannes,4
flavor,Nice-Cannes,2
flavour,Nice-Cannes,1
flew,Nice-Cannes,1
flexibility,Nice-Cannes,1
flight,Nice-Cannes,6
flip,Nice-Cannes,2
float,Nice-Cannes,2
floor,Nice-Cannes,3
flop,Nice-Cannes,2
florida,Nice-Cannes,3
flow,Nice-Cannes,2
flower,Nice-Cannes,3
fly,Nice-Cannes,2
fo,Nice-Cannes,1
foam,Nice-Cannes,1
fois,Nice-Cannes,1
folk,Nice-Cannes,2
food,Nice-Cannes,232
